Previous_GPA,Mid_Mark,Assignment_Mark,Attendance_Percentage,Study_Hours_Per_Week,Sleep_Hours_Per_Day,Stress_Level,Future_GPA
0.99,8.0,9.0,48.0,26.0,5,3.0,1.7
2.97,19.0,14.0,73.0,50.0,8,1.0,3.7
3.46,17.0,15.0,79.0,60.0,8,1.0,4.0
2.34,13.0,13.0,57.0,68.0,7,1.0,3.7
3.3,13.0,15.0,75.0,52.0,8,1.0,4.0
2.85,14.0,12.0,68.0,52.0,9,3.0,3.7
2.56,16.0,15.0,73.0,62.0,8,2.0,4.0
2.09,12.0,10.0,47.0,48.0,6,2.0,2.7
2.67,13.0,15.0,54.0,34.0,8,3.0,3.0
2.62,18.0,13.0,56.0,40.0,7,3.0,3.7
2.78,9.0,13.0,65.0,47.0,5,2.0,3.0
3.12,16.0,14.0,74.0,60.0,9,3.0,4.0
2.16,9.0,10.0,58.0,34.0,5,3.0,2.3
2.95,17.0,16.0,88.0,33.0,8,1.0,3.7
2.97,10.0,12.0,77.0,47.0,8,2.0,3.0
2.43,11.0,14.0,60.0,48.0,7,3.0,3.7
2.14,13.0,12.0,54.0,40.0,6,4.0,3.0
3.12,16.0,18.0,80.0,74.0,9,1.0,4.0
2.51,14.0,11.0,53.0,31.0,4,4.0,3.0
1.86,9.0,12.0,59.0,34.0,6,2.0,2.3
3.59,18.0,19.0,87.0,74.0,9,3.0,4.0
3.3,20.0,16.0,86.0,69.0,7,1.0,4.0
2.65,13.0,10.0,64.0,46.0,7,1.0,3.0
2.4,7.0,13.0,48.0,38.0,6,4.0,2.7
2.64,13.0,16.0,75.0,64.0,9,1.0,3.7
3.25,15.0,14.0,79.0,60.0,9,3.0,4.0
3.23,14.0,15.0,70.0,51.0,7,2.0,3.7
3.53,17.0,15.0,86.0,51.0,8,1.0,4.0
2.46,10.0,10.0,66.0,31.0,7,3.0,2.7
2.73,16.0,16.0,70.0,54.0,8,5.0,4.0
2.37,14.0,11.0,72.0,48.0,9,2.0,3.3
1.88,10.0,9.0,41.0,40.0,6,4.0,2.3
2.21,12.0,13.0,52.0,45.0,5,1.0,3.0
2.86,14.0,12.0,82.0,57.0,7,3.0,4.0
3.12,16.0,18.0,74.0,63.0,8,4.0,4.0
1.94,8.0,14.0,61.0,48.0,5,2.0,2.7
3.5,17.0,17.0,85.0,60.0,9,2.0,4.0
1.57,8.0,5.0,40.0,34.0,6,2.0,1.0
1.65,13.0,9.0,47.0,23.0,4,4.0,2.3
1.72,12.0,5.0,49.0,33.0,5,2.0,2.0
2.44,10.0,15.0,61.0,49.0,5,1.0,3.0
2.44,9.0,14.0,57.0,57.0,6,4.0,3.3
2.28,16.0,14.0,68.0,67.0,9,3.0,4.0
2.31,9.0,11.0,48.0,44.0,6,2.0,2.7
3.55,17.0,20.0,87.0,80.0,8,3.0,4.0
1.62,8.0,4.0,40.0,29.0,6,2.0,1.7
2.05,13.0,11.0,42.0,34.0,6,4.0,3.0
2.82,12.0,14.0,62.0,56.0,8,4.0,3.7
1.85,6.0,13.0,40.0,56.0,5,4.0,2.7
3.63,17.0,17.0,90.0,65.0,7,2.0,4.0
2.06,9.0,7.0,51.0,39.0,5,3.0,2.0
2.13,9.0,9.0,61.0,36.0,5,3.0,2.3
2.16,11.0,16.0,47.0,42.0,6,4.0,3.0
1.93,11.0,12.0,52.0,33.0,6,3.0,2.7
2.69,13.0,13.0,64.0,45.0,7,4.0,3.3
2.91,14.0,15.0,76.0,45.0,8,3.0,4.0
2.15,11.0,10.0,55.0,45.0,6,3.0,2.7
3.63,16.0,18.0,82.0,58.0,8,2.0,4.0
2.48,15.0,12.0,61.0,27.0,8,1.0,3.7
2.52,9.0,13.0,52.0,23.0,4,4.0,2.0
1.99,10.0,8.0,54.0,35.0,10,3.0,2.7
2.44,16.0,12.0,67.0,36.0,8,4.0,3.3
2.86,16.0,16.0,66.0,65.0,7,5.0,4.0
2.86,12.0,12.0,68.0,56.0,7,1.0,3.7
1.87,5.0,10.0,40.0,30.0,6,4.0,1.7
1.85,9.0,7.0,44.0,31.0,6,3.0,2.3
3.01,13.0,11.0,81.0,58.0,8,3.0,3.7
3.06,17.0,18.0,79.0,63.0,8,2.0,4.0
